Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:165/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,5,0.774,0.155,0.012,255,255
t:166/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,4,0.794,0.198,0.012,255,255
t:167/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,4,0.851,0.213,0.013,255,255
t:168/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,5,0.928,0.186,0.014,255,255
t:169/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,6,1.088,0.181,0.016,255,255
t:170/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,6,0.934,0.156,0.014,255,255
t:171/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,4,0.755,0.189,0.011,255,255
t:172/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,3,0.646,0.215,0.010,255,255
t:173/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,3,0.851,0.284,0.013,255,255
t:174/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,5,1.024,0.205,0.015,255,255
t:175/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,5,1.011,0.202,0.015,255,255
t:176/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,4,0.998,0.250,0.015,255,255
t:177/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,4,0.947,0.237,0.014,255,255
t:178/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,2,0.429,0.214,0.006,255,255
t:179/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,2,0.544,0.272,0.008,255,255
t:180/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,5,0.864,0.173,0.013,255,255
t:181/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,5,0.947,0.189,0.014,255,255
